madde,anlam
çıplaklaştırmak,Çıplak duruma getirmek
çıplaklık,Çıplak olma durumu
çıplak maden,"Tamamen saf durumda, içinde hiçbir yabancı madde bulunmayan maden"
çıplak mülkiyet,Yararlanma hakkı başkasının olan bir mal üzerindeki sahiplik durumu
çıplak resim,"Resim sanatında çıplak insanı konu alan bir resim türü, nü"
çıplak tohumlular,Açık tohumlular
çıplak ücret,"Vergiler, yan ödemeler veya primler dışında kalan asli ücret, çıplak maaş"
çıra,Çam vb. reçineli ağaçların yağlı ve çabuk yanmaya elverişli bölümü
çerağ,"Mum, kandil, lamba vb. ışık veren araç, çırağ"
çırak çıkarmak,bir kimseyi beklediğinden az bir kazançla ortaklıktan uzaklaştırmak
çırak almak,yanında çırak çalıştırmak
çırak,Zanaat öğrenmek için bir ustanın yanında çalışan kimse
çırak vermek,çırak olarak çalışması için bir iş yerine göndermek
çıraklık etmek,çırak olarak çalışmak
çıraklık,"Çırak olma durumu, yamaklık"
çırakma,Şamdan
çırakman,Üzerinde meşale yakılan kule veya demir direk
çıralı,Çırası olan
çıralık,"Çıra olarak kullanılmaya elverişli (ağaç, tahta)"
çıramoz,"Balıkçıların, ateş balığı avlarken üzerinde çıra ve funda yaktıkları ızgara"
çırçıl,"Gemilere fıçı, varil vb. yükü yükleme, boşaltma sırasında kullanılan iki tarafı kancalı sapan"
çırçıplak,Çırılçıplak
çırçıplaklık,Çırçıplak olma durumu
çırçır,Pamuğu çekirdeğinden ayırmaya yarayan alet
çırçır,Küçük pınar
çır çır,`Ne yapacağını şaşırmış bir durumda çok üzüntü ve telaş içinde olmak` anlamındaki çır çır çırpınmak sözünde geçer
çırçırlama,Çırçırlamak işi
çırçırlamak,"Pamuk, keten, kendir vb. bitkisel dokuma ham maddelerini çekirdek veya kabuklarından temizlemek"
çırılçıplak,"Tamamen çıplak, çırçıplak, anadan doğma, anadan üryan"
çırılçıplaklık,Çırılçıplak olma durumu
çırnık,Küçük boyda kayık
çırpıya getirmek,bir sıra veya çizgi üzerine getirmek
çırpı,"Dal, budak kırpıntısı"
çırpı gibi,"çok ince, çok zayıf (kol ve bacak)"
çırpı vurmak,boyaya batırılmış ipin gerilip çabucak çırpılmasıyla yüzeylere çizgi çekmek
çırpıcı,Çırpma işini yapan kimse veya şey
çırpı ipi,İki nokta arasında düzgünlüğü sağlamak için kullanılan ip
çırpılma,Çırpılmak işi
çırpılmak,Çırpma işine konu olmak
çırpınış,Çırpınma işi
çırpınma,Çırpınmak işi
çırpınmak,Acı ile debelenmek
çırpıntı,Çırpınma
çırpıntılı,Ufak ve oynak dalgalı (deniz)
çırpış,Çırpma işi
çırpışma,Çırpışmak işi
çırpışmak,Kuşlar kanatlarını oynatmak
çırpıştırılma,Çırpıştırılmak işi
çırpıştırılmak,Çırpıştırma işi yaptırılmak
çırpıştırma,Çırpıştırmak işi
çırpıştırmak,Emek harcamadan özensiz ve üstünkörü yapmak
çırpma,Çırpmak işi
çırpmacı,Çırpma işini yapan kimse
çırpmacılık,Çırpmacının yaptığı iş
çırpmak,"Halı, kilim vb. şeyleri hızla ve kesik kesik silkelemek"
çırptırma,Çırptırmak işi
çırptırmak,Çırpma işini yaptırmak
çıt,Hafif ve anlık ses
çıt (veya çıtını) çıkarmamak,ses çıkarmamak
çıt çıkmamak,en hafif bir ses bile çıkmamak
çıtı çıkmamak,hiç konuşmamak
çıt etmek,`çıt` sesi çıkarmak
çıta,Düzgün biçilmiş uzun ve ensiz tahta
çıtayı yükseltmek,hedefi yüksek belirlemek
çıtak,Dağda yaşayan ve geçimini odun satarak sağlayan
çıtçıt,"Üzerinde dikili bulundukları şeyin iki kenarını üst üste getirerek birleştirmeye ve tutturmaya yarayan, iki parçadan yapılmış metal nesne, fermejüp, kopça"
çıtçıtlama,Çıtçıtlamak işi
çıtçıtlamak,Çıtçıtla tutturmak
çıtı pıtı,"Ufak tefek ve sevimli, çıtır pıtır"
çıtır çıtır konuşmak,düzgün ve uzunca konuşmak
çıtır çıtır,"Çok taze, gevrek"
çıtır çıtır etmek,çıtırdamak
çıtırdama,Çıtırdamak işi
çıtırdamak,Çıtır çıtır ses çıkarmak
çıtırdatış,Çıtırdatma işi
çıtırdatma,Çıtırdatmak işi
çıtırdatmak,Çıtır çıtır ses çıkarmasına yol açmak
çıtırdayış,Çıtırdama işi
çıtır pıtır,Çıtı pıtı
çıtırtı,Çıtırdama sırasında çıkan sesin adı
çıtkırıldım,"Aşırı incelik, dayanıksızlık ve çekingenlik gösteren (kimse)"
çıtkırıldımlık,Çıtkırıldım olma durumu
çıtlama,Çıtlamak işi
çıtlamak,`Çıt` sesi çıkarmak
çıtlatılma,Çıtlatılmak işi
çıtlatılmak,Çıtlatma işi yapılmak
çıtlatış,Çıtlatma işi
çıtlatma,Çıtlatmak işi
çıtlatmak,Bir şeyden `çıt` sesi çıkarmak
çıtlık,Çitlembik
çıtpıt,"Ayak altında ezilerek çıtır çıtır ses çıkaran bir patlangaç türü, çatapat"
çıvgar,Çift sürmekte veya araba çekmekte olan hayvanlara yardımcı olarak koşulan hayvan
çıvgın,Şıvgın
çıvma,Çıvmak işi
çıvmak,"Atlamak, sıçramak, zıplamak"
çıyan gibi,hain bakışlı (kimse)
çıyan,"Çok ayaklılardan, sarımtırak renkte, zehirli bir böcek (Scolopendra)"
çıyan gözlü,Mavi gözlü
çıyanlık,"Hain olma durumu, hainlik"
çıyanlık etmek,hainlik etmek
çızıktırmak,Çiziktirmek
çiçek,"Bir bitkinin, üreme organlarını taşıyan çoğu güzel kokulu, renkli bölümü"
çiçek açmak (veya vermek),çiçeklenmek
çiçek çıkarmak,çiçek hastalığına tutulmak
çiçek gibi,"temiz, bakımlı, güzel"
çiçek olmak,"yaşına, durumuna uymayan aşırı davranışlarda bulunmak"
çiçeğe kesmek,çiçek açmak
çiçek aşısı,Çiçek hastalığına karşı bağışıklık sağlamak amacıyla aşı olarak yapılan zayıflatılmış çiçek virüsü
çiçek bahçesi,Çiçek yetiştirilen veya çiçeklerle kaplanmış süslü bahçe
çiçek biti,"Yarım kanatlılardan, küçük ve yumuşak vücutlu olan, bitkilerin üzerinde sürü durumunda yaşayan bir tür böcek"
çiçek boyası,Kırmız
çiçek bozuğu,Çiçek hastalığından yüzü delik deşik olmuş
çiçekçi,"Çiçek yetiştiren, satan veya yapma çiçek işiyle uğraşan kimse"
çiçekçilik,Çiçekçinin yaptığı iş
çiçek durumu,Çiçeklerin sap üzerindeki dizilişi
çiçek dürbünü,Kaleydoskop
çiçekevi,Çiçek yetiştirilen ve satılan yer
çiçekleme,Çiçeklemek işi
çiçeklemek,Çiçek dikmek
çiçeklendirme,Çiçeklendirmek işi
çiçeklendirmek,Çiçekli duruma getirmek
çiçekleniş,Çiçeklenme işi
çiçeklenme,Çiçeklenmek işi
çiçeklenmek,"Çiçek açmak, çiçek vermek, çiçekli duruma gelmek"
çiçekleşme,Çiçekleşmek işi
çiçekleşmek,"Çiçek durumuna girmek, çiçek gibi olmak"
çiçekli,Çiçeği veya çiçek resimleri olan
çiçekli bitkiler,Tohumlu bitkiler
çiçeklik,Koparılmış çiçekleri koymaya yarar kap
çiçek pazarı,Çiçeklerin alınıp satıldığı çarşı
çiçek sapçığı,Çiçekleri sapa birleştiren ince ve küçük bölüm
çiçek sapı,"Bütün çiçeklerin, üzerinde toplandığı veya bitiştiği sap"
çiçeksever,Çiçeğe düşkün (kimse)
çiçeksime,Çiçeksimek işi veya sonucu
çiçeksimek,"Çiçek gibi olmak, çiçeklenmek"
çiçeksiz,Çiçeği olmayan
çiçeksiz bitkiler,"Üreme organları gizli olan mantarlar, eğrelti otları vb. bitkiler sınıfı"
çiçek soğanı,Lale vb. çiçeklerin ekim zamanı köklerinde oluşan soğan biçimindeki yumru filiz
çiçek suyu,Turunçgillerin çiçeklerinin imbikten geçirilmesiyle elde edilen güzel kokulu su
çiçek tacı,"Çiçeklerin üreme organlarının çevresinde türlü renkte yaprakçıklardan oluşan ve böcekleri çeken organ, tüveyç"
çiçek tozu,"Çiçekli bitkilerde erkek organın başçığında bulunan döl hücresi, polen"
çiçek yağı,Ayçiçeği yağı
çiçek yaprağı,"Çiçek sapı üzerinde ve çiçeğe yakın, özel biçimler gösteren yaprak"
"çift ile koyun, gerisi oyun","`en zor çiftçilik, tarla sürülerek ve koyun beslenerek yapılan çiftçiliktir, diğer işler eğlence gibidir` anlamında kullanılan bir söz"
çifti bozmak,çiftçilik yapmaktan vazgeçmek
çifte gitmek,tarla sürmeye gitmek
çift sürmek,"saban, pulluk kullanarak toprağı ekilebilir duruma getirmek"
çifte koşmak,çift koşmak
çift görmek,sarhoş olmak
çift koşmak,"hayvanları sabana, pulluğa koşmak"
"çift edersen bağlanırsın, bağ edersen eğlenirsin","`bakımını iyi yaparsan bağın iyi olur, bağla uğraşmak bir eğlencedir` anlamında kullanılan bir söz"
çift,Birbirini tamamlayan iki tekten oluşan (nesneler)
çift atış,"Çıkış hakeminin, çıkışın yanlış olduğunu koşuculara bildirmek ve yarışı durdurmak için yaptığı iki el tabanca atışı"
çift ayaklılar,"Duyargaları sekiz eklemli, vücut halkalarında ikişer çift ayak bulunan, ıslak ve karanlık yerleri seven çok ayaklılar topluluğu"
çift camlı,Aralarında boşluk bırakılarak takılmış iki camı bulunan (pencere)
çift cinsellik,Kişinin beyninde bir dişi bir de erkek gizil gücün bulunması durumu
çiftçi,Geçimini toprağı ekerek sağlayan kimse
"çiftçinin karnını yarmışlar, kırk tane ""gelecek yıl"" çıkmış","`çiftçinin ürünü her yıl bir afete uğrar, o da hep gelecek yıla umut bağlar` anlamında kullanılan bir söz"
"çiftçiye yağmur, yolcuya kurak; cümlenin muradını verecek Hak","`kullar Tanrı'dan kendilerine gerekli olan şeyleri dilerler, bu dilekleri kabul edecek olan Tanrı'dır` anlamında kullanılan bir söz"
çiftçilik etmek,"tarımla uğraşmak, rençperlik yapmak"
çiftçilik,Çiftçinin yaptığı iş
çift çubuk,Çiftçilik yapabilmek için gereken her türlü araç
çifte çubuğa gitmek,ekim ve biçim işleriyle uğraşmak
çift dalma,Ayakta güreşirken beklenmeyen bir atılımla karşısındakinin iki ayağını birden kapma
çift desimetre,Üzerinde 20 santimetrelik bölüntüler bulunan ölçü cetveli
çift dikiş,Birbirlerinden geçen iki sıra düz dikiş
çift direkli,İki direkli küçük yelkenli
çift dirsek,Boruya 180 derecelik dönüş veren dirsek
çift dişliler,"Omurgalılardan, üst çenedeki bir çift kemirmeye yarayan kesici dişin arasında bir çift daha küçük dişleri bulunan kemiriciler takımının bir alt takımı"
çifte yemek,hayvanın çiftesine maruz kalmak
çifte,İkisi bir arada bulunan veya ikili
çifte atmak,"at, eşek arka ayakları ile vurmak"
çifte vurmak,çiftelemek
çifte dikiş,Çift dikiş
çiftehane,Kuş üretmeye yarar kafesli yer
çifte kavrulmuş,"İki kez kavrulmuş (leblebi, nohut, çekirdek vb.)"
çifte kıskaç,İkili kıskaca alma durumu
çifte kumrular,Birbirini çok seven iki sevgili
çifteleme,Çiftelemek işi
çiftelemek,"Hayvan arka ayaklarıyla tepmek, çifte vurmak"
çiftelenme,Çiftelenmek işi
çiftelenmek,Çifte yemek
çifteleşme,Çifteleşmek işi
çifteleşmek,Birbirini çiftelemek
çifteli,Çiftesi bulunan
çifte nağra,Birbirine bağlı küçük iki dümbelekten oluşan çalgı
çifter çifter,"Her defasında, her yapılışında çift olarak"
çifte standart,"Kişiye veya duruma göre farklı davranışlarda bulunma, tutarlı olmama"
çiftetelli,"Göğüs ve göbek titreterek, gerdan kırarak oynanan bir oyun"
çifte vatandaşlık,Çifte vatandaş olma durumu
çift kanatlılar,"Sinekler gibi iki kanadı olan ve emici ağızları bulunan böcekler takımı, iki kanatlılar"
çift kapı,"Üst üste kapanan veya birbirine vidalanarak kullanılan, yalıtma özelliği çok, iki katlı kapı"
çift kişilik,İki kişi için
çift kol,"Aynı yönde ilerleyen, duran veya yürüyen birliklerden ve araçlardan oluşan yan yana iki kol"
çift küme,Birbirine çok yakın iki yıldız kümesi
çiftleme,Çiftlemek işi
çiftlemek,"Çift duruma getirmek, ikilemek"
çiftlenme,Çiftlenmek işi
çiftlenmek,İkili duruma getirilmek
çiftleşme,Çiftleşmek işi
çiftleşmek,Bir şey tekken bir tanesinin daha katılmasıyla iki olmak
çiftleştiriş,Çiftleştirme işi
çiftleştirme,Çiftleştirmek işi
çiftleştirmek,Çift yapmak
çiftlik,"Tarım yapılan, hayvan yetiştirilen, çalışanlarının da oturması için evler bulunan geniş toprak parçası"
çiftlik kâhyası,Çiftlik işlerini yöneten kimse
çift motorlu,İki motorlu küçük uçak
çift parmaklılar,"Memelilerin öküz, koyun gibi parmakları çift olan takımı, çift tırnaklılar"
çift pencere,Yalıtkanlığı artırmak amacıyla üst üste kapanan iki kanat biçiminde yapılmış pencere
çift sayı,"2 ve 4, 6, 8 gibi 2'nin katı olan ve 2'ye bölünebilen tam sayı"
çiftteker,Bisiklet
çifttekerci,Bisikletçi
çifttekercilik,Bisikletçilik
çift vuruş,"Kurala aykırı ancak kasıtlı olmayan bir davranış dolayısıyla topun doğrudan doğruya kaleye vurulamadığı, iki vuruşlu bir ceza türü, endirekt atış"
çift yıldız,Birbirinin çekim etkisi altında ortak kütle merkezi çevresinde dolanan iki yıldız
çift zamanı,Tarla sürme zamanı
Çigan,Çingene
Çigan müziği,Macar folklorundan gelişmiş özel yaylı sazla çalınan hareketli halk müziği
çiğ,Pişmemiş veya az pişmiş
çiğ düşmek,"hoş karşılanmamak, kaba ve yersiz bulunmak"
çiğ kaçmak,"yersiz, yakışıksız olmak"
çiğ süt emmiş,iyiliğini gördüğü insana kötülük yapan kişiler için kullanılan bir söz
çiğ yemedim ki karnım ağrısın,`suç işlemedim ki korkayım` anlamında kullanılan bir söz
çiğden vermek,yiyecek karşılığını para olarak ödemek
çiğ börek,"Çiğ kıyma, soğan ve baharat karışımının açılmış yufkaya konulup yağda kızartılmasıyla yapılan börek"
çiğde,Hünnap
çiğdem,"Zambakgillerden, türlü renklerde çiçek açan, çok yıllık, yumrulu bir kır bitkisi, mahmur çiçeği (Colchicum)"
çiğin,Omuz
çiğindirik,"İki ucuna su kabı, yoğurt tablası vb. taşınacak şeyler asılarak omza alınan ağaç, omuzluk"
çiğ iplik,Bükülmemiş iplik
çiğit,Pamuk çekirdeği
çiğitli,Çiğit karışmış olan
çiğ köfte,"İyice dövülmüş çiğ etle ince bulgura biber, soğan, baharat, salça, maydanoz katılıp bulgur yumuşayıncaya kadar yoğrulduktan sonra pişirilmeden biçim verilerek yenen köfte"
çiğleşme,Çiğleşmek işi
çiğleşmek,Göze batmak
çiğlik etmek,ters veya yersiz bir davranışta bulunmak
çiğlik,Çiğ olma durumu
çiğnek,Yolüstü
çiğnem,Çiğnemlik
çiğneme,Çiğnemek işi
çiğnemek,"Ağza alınan bir şeyi dişler arasında ezmek, öğütmek"
çiğnemeden yutulmaz,`en kolay bir iş dahi emek gerektirir` anlamında kullanılan bir söz
çiğnemik,Ağızda çiğnenip çıkarılan yemek
çiğnemlik,"Ağızda çiğnenecek miktarda olan, çiğnem"
çiğneniş,Çiğnenme işi
çiğnenme,Çiğnenmek işi
çiğnenmek,Çiğneme işi yapılmak
çiğnetme,Çiğnetmek işi
çiğnetmek,Çiğneme işini yaptırmak
çiğneyiş,Çiğneme işi
çiğ renkçi,Çiğ renkçilik anlayışında resim yapan sanatçı
çiğ renkçilik,XX. yüzyılın başlangıcında ilk defa izlenimciliğin renklerini bırakıp gereğinden çok saf renkler kullanarak abartılmış tabiat biçimlerini gösteren resim anlayışı
çiğ toprak,"Uzun zaman işlenmemiş, güç sürülür toprak"
çikolata,"Kakaonun içerisine şeker, süt, fıstık, fındık vb. katılarak yapılan bir tür tatlı yiyecek"
çikolatacı,Çikolata yapan veya satan kimse
çikolatacılık,Çikolatacının yaptığı iş
çikolatalı,Çikolatası olan
çil,"Orman tavuğugillerden, eti için avlanan, ormanlarda yaşayan bir kuş, dağ tavuğu (Tetrastes bonasia)"
çil yavrusu gibi dağılmak,toplu olarak bulunan insanların her biri bir yana dağılmak
çil,Çoğunlukla yüzde oluşan kahverengi küçük benekler
çil çil,"Pırıl pırıl, parlak"
çileye girmek,dervişlerin kırk gün süre ile kendilerine uyguladıkları zorlu ve perhizli döneme girmek
çilesi dolmak,"derviş ve tarikat ehli, sadece dua ve ibadetle geçirmeleri gereken süreyi tamamlayarak çileden çıkmak"
çileden çıkmak,olup bitenler karşısında sabrı ve dayanıklılığı kalmayıp taşkınlık göstermek
çile,"Zahmet, sıkıntı"
çile çıkarmak (veya doldurmak),sıkıntılı bir işin veya bir durumun sona ermesini beklemek
çile çekmek,büyük sıkıntı ve üzüntü içinde yaşamak
çileden çıkarmak,çok kızdırmak
çile,"İpek, yün, pamuk vb. her türlü iplik demeti"
çilecilik,Dinî amaçlarla ve törelere bağlı olarak doğal eğilimleri ve beden isteklerini yenmek için isteyerek acı çekme
çilehane,Dervişlerin çile doldurdukları yer
çilek,"Gülgillerden, sapları sürüngen, çiçekleri beyaz bir bitki"
çilekçi,Çilek yetiştiren veya satan kimse
çilekçilik,Çilek yetiştirme veya satma işi
çilekeş,Hayatı boyunca birçok sıkıntı ve üzüntü çekmiş (kimse)
çilekeşlik,Çilekeş olma durumu
çilek reçeli,Çilek ve şekerden yapılan kokulu bir reçel türü
çilek suyu,Çileğin sıkılmasıyla elde edilen meyve suyu
çilek üzümü,Bir tür üzüm
çileli,"Çilesi olan, çok sıkıntı çekmiş olan"
çilemek,Yağmur çiselemek
çilenti,"Hafif yağmur, serpinti"
çilingir,Anahtarcı
çilingirlik,Çilingirin yaptığı iş
çilingir sofrası,"Üzerine meze ve içki konmuş tepsi, küçük içki sofrası"
çillenme,Çillenmek işi
çillenmek,Bitki köklerinde kılı andıran uzantılar çıkmak
çilli,Çili olan
çilsiz,Çili olmayan
çim,"Buğdaygillerden, bahçelerin, yol kenarlarının ve parkların yeşillendirilmesinde yararlanılan çok yıllık bitki (Lolium)"
çimbali,Klavsen
çimçek,Bir tür küçük serçe
çim çim,İsteksizce
çimdik,Çimdikleme işi
çimdik atmak (veya basmak),çimdiklemek
çimdikleme,Çimdiklemek işi
çimdiklemek,Bir kimsenin etini başparmakla işaret parmağı arasında kıstırarak sıkıp acıtmak
çimdiklenme,Çimdiklenmek işi
çimdiklenmek,Çimdik atılmak
çimdirme,Çimdirmek işi
çimdirmek,Çimme işini yaptırmak
çimek,Çimecek yer
çimen,Kendiliğinden yetişmiş çim
çimenli,Çimeni olan
çimenlik,Çimeni olan yer
çimensiz,Çimeni olmayan
çimento,"Killi kalkerleri özel fırınlarda pişirip ezmekle elde edilen, çamuru çarçabuk katılaşıp sertleşen ve yapılarda harç malzemesi olarak kullanılan kül renginde veya beyaz toz"
